Transaction_ID,Part_ID,Vendor_ID,Transaction_Type,Quantity,Purchase_Order_Date,Promised_Date,Transaction_Date,Out_Reason
T00081,P104,V040,OUT,34,,,22-10-2024,Emergency
T00082,P106,V028,OUT,47,,,28-03-2025,Routine Check
T00083,P110,V021,OUT,16,,,22-01-2025,Maintenance
T00084,P058,V057,OUT,16,,,29-07-2025,Emergency
T00085,P004,V022,OUT,32,,,25-02-2025,Replacement
T00086,P028,V032,IN,46,06-08-2024,05-09-2024,04-09-2024,
T00087,P002,V036,OUT,33,,,02-09-2024,Repair
T00088,P093,V016,IN,53,16-11-2023,06-12-2023,06-12-2023,
T00089,P092,V042,OUT,31,,,13-09-2024,Emergency
T00090,P038,V006,IN,29,28-04-2024,15-05-2024,20-05-2024,
T00091,P071,V031,OUT,34,,,23-07-2025,Replacement
T00092,P071,V048,OUT,21,,,26-05-2025,Replacement
T00093,P040,V018,OUT,16,,,14-06-2025,Repair
T00094,P025,V047,IN,41,25-06-2024,03-07-2024,01-07-2024,
T00095,P028,V013,IN,95,22-10-2023,11-11-2023,09-11-2023,
T00096,P107,V007,OUT,12,,,07-07-2025,Replacement
T00097,P023,V024,IN,39,08-12-2023,13-12-2023,16-12-2023,
T00098,P007,V003,OUT,35,,,26-05-2025,Replacement
T00099,P112,V041,IN,97,06-01-2024,26-01-2024,26-01-2024,
T00100,P062,V031,OUT,28,,,14-03-2025,Replacement
T00101,P033,V004,IN,62,20-08-2024,28-08-2024,04-09-2024,
T00102,P074,V005,OUT,40,,,08-05-2025,Maintenance
T00103,P104,V010,IN,73,01-07-2024,15-07-2024,15-07-2024,
T00104,P098,V036,IN,54,01-11-2023,25-11-2023,23-11-2023,
T00105,P067,V050,IN,49,31-10-2023,19-11-2023,24-11-2023,
T00106,P073,V020,OUT,40,,,06-09-2024,Maintenance
T00107,P027,V049,IN,81,28-04-2024,09-05-2024,09-05-2024,
T00108,P023,V016,IN,71,04-07-2024,11-07-2024,10-07-2024,
T00109,P077,V045,OUT,30,,,21-11-2024,Replacement
T00110,P037,V015,IN,91,20-10-2023,03-11-2023,11-11-2023,
T00111,P030,V044,IN,34,13-08-2024,12-09-2024,10-09-2024,
T00112,P015,V028,IN,70,13-07-2024,25-07-2024,24-07-2024,
T00113,P008,V005,IN,22,21-07-2024,20-08-2024,18-08-2024,
T00114,P016,V029,OUT,30,,,05-02-2025,Replacement
T00115,P065,V018,OUT,35,,,22-04-2025,Emergency
T00116,P077,V006,OUT,3,,,25-11-2024,Emergency
T00117,P033,V039,OUT,2,,,18-12-2024,Maintenance
T00118,P108,V044,IN,74,02-01-2024,25-01-2024,30-01-2024,
T00119,P097,V049,IN,23,03-10-2023,23-10-2023,22-10-2023,
T00120,P075,V012,OUT,28,,,29-08-2024,Emergency
T00121,P045,V031,IN,53,24-06-2024,09-07-2024,09-07-2024,
T00122,P053,V022,IN,89,18-01-2024,07-02-2024,06-02-2024,
T00123,P012,V030,IN,41,20-01-2024,02-02-2024,01-02-2024,
T00124,P112,V043,IN,70,16-06-2024,05-07-2024,05-07-2024,
T00125,P097,V040,OUT,32,,,17-09-2024,Emergency
T00126,P035,V014,IN,71,06-06-2024,15-06-2024,23-06-2024,
T00127,P004,V008,OUT,40,,,08-04-2025,Routine Check
T00128,P021,V046,IN,40,16-06-2024,08-07-2024,07-07-2024,
T00129,P108,V015,IN,15,26-01-2024,14-02-2024,17-02-2024,
T00130,P092,V060,OUT,19,,,20-01-2025,Routine Check
T00131,P107,V027,OUT,31,,,08-11-2024,Emergency
T00132,P071,V030,IN,19,07-02-2024,24-02-2024,22-02-2024,
T00133,P009,V056,IN,36,13-04-2024,12-05-2024,19-05-2024,
T00134,P101,V060,OUT,32,,,25-11-2024,Replacement
T00135,P093,V019,IN,39,26-08-2023,18-09-2023,16-09-2023,
T00136,P020,V056,OUT,29,,,11-02-2025,Routine Check
T00137,P043,V023,OUT,35,,,04-01-2025,Routine Check
T00138,P120,V030,OUT,21,,,30-06-2025,Repair
T00139,P050,V037,IN,30,01-07-2024,30-07-2024,29-07-2024,
T00140,P117,V046,OUT,24,,,11-12-2024,Emergency
T00141,P005,V032,IN,17,10-05-2024,31-05-2024,06-06-2024,
T00142,P109,V056,IN,57,08-06-2024,16-06-2024,24-06-2024,
T00143,P019,V047,IN,53,27-01-2024,21-02-2024,23-02-2024,
T00144,P034,V051,OUT,22,,,16-08-2025,Routine Check
T00145,P011,V042,OUT,21,,,01-04-2025,Routine Check
T00146,P081,V021,OUT,46,,,26-11-2024,Emergency
T00147,P009,V040,IN,31,09-07-2024,03-08-2024,02-08-2024,
T00148,P012,V048,IN,56,06-08-2024,14-08-2024,12-08-2024,
T00149,P022,V029,IN,89,19-12-2023,02-01-2024,03-01-2024,
T00150,P008,V051,OUT,19,,,23-10-2024,Replacement
T00151,P019,V028,OUT,16,,,30-05-2025,Routine Check
T00152,P088,V037,OUT,12,,,26-06-2025,Repair
T00153,P079,V006,IN,49,31-10-2023,24-11-2023,02-12-2023,
T00154,P060,V015,IN,82,10-10-2023,23-10-2023,21-10-2023,
T00155,P103,V058,IN,60,30-11-2023,14-12-2023,17-12-2023,
T00156,P045,V029,IN,76,06-03-2024,20-03-2024,19-03-2024,
T00157,P109,V030,OUT,19,,,17-04-2025,Repair
T00158,P062,V055,OUT,7,,,12-04-2025,Repair
T00159,P046,V037,OUT,37,,,03-04-2025,Replacement
T00160,P107,V002,OUT,42,,,01-11-2024,Emergency
T00161,P073,V001,OUT,44,,,17-12-2024,Maintenance
T00162,P116,V054,OUT,18,,,08-06-2025,Repair
T00163,P082,V015,OUT,12,,,10-11-2024,Routine Check
T00164,P097,V044,OUT,46,,,31-08-2024,Repair
T00165,P081,V058,IN,83,23-02-2024,29-02-2024,28-02-2024,
T00166,P047,V038,IN,94,28-04-2024,07-05-2024,06-05-2024,
T00167,P054,V048,OUT,11,,,01-10-2024,Repair
T00168,P070,V051,IN,47,05-12-2023,26-12-2023,25-12-2023,
T00169,P117,V017,IN,62,09-02-2024,10-03-2024,09-03-2024,
T00170,P010,V030,IN,19,20-01-2024,18-02-2024,25-02-2024,
T00171,P102,V006,OUT,25,,,06-03-2025,Maintenance
T00172,P016,V035,OUT,29,,,20-01-2025,Replacement
T00173,P049,V038,OUT,41,,,26-11-2024,Replacement
T00174,P030,V044,IN,61,01-09-2023,06-09-2023,04-09-2023,
T00175,P079,V059,OUT,14,,,03-07-2025,Maintenance
T00176,P090,V059,OUT,19,,,11-02-2025,Emergency
T00177,P006,V009,IN,5,15-02-2024,29-02-2024,02-03-2024,
T00178,P114,V016,IN,69,16-05-2024,25-05-2024,24-05-2024,
T00179,P096,V038,OUT,47,,,07-12-2024,Repair
T00180,P013,V042,OUT,31,,,25-10-2024,Routine Check
T00181,P005,V018,OUT,44,,,14-12-2024,Replacement
T00182,P057,V029,IN,31,29-06-2024,15-07-2024,13-07-2024,
T00183,P116,V035,OUT,41,,,29-04-2025,Replacement
T00184,P036,V026,IN,25,28-08-2023,05-09-2023,13-09-2023,
T00185,P028,V043,IN,83,22-04-2024,17-05-2024,17-05-2024,
T00186,P043,V051,IN,32,17-10-2023,26-10-2023,26-10-2023,
T00187,P098,V054,IN,71,10-04-2024,21-04-2024,21-04-2024,
T00188,P019,V050,OUT,38,,,31-05-2025,Maintenance
T00189,P019,V055,OUT,8,,,21-02-2025,Routine Check
T00190,P023,V052,OUT,7,,,02-04-2025,Maintenance
T00191,P046,V001,IN,31,30-11-2023,23-12-2023,23-12-2023,
T00192,P017,V004,OUT,47,,,28-02-2025,Emergency
T00193,P009,V048,IN,61,22-11-2023,11-12-2023,09-12-2023,
T00194,P065,V029,IN,29,17-04-2024,11-05-2024,09-05-2024,
T00195,P083,V030,OUT,2,,,05-11-2024,Maintenance
T00196,P052,V055,OUT,27,,,28-07-2025,Maintenance
T00197,P117,V046,OUT,28,,,02-10-2024,Maintenance
T00198,P078,V021,IN,19,03-05-2024,10-05-2024,08-05-2024,
T00199,P077,V025,OUT,34,,,01-03-2025,Replacement
T00200,P078,V033,OUT,28,,,11-11-2024,Maintenance
T00201,P084,V055,IN,84,20-12-2023,18-01-2024,18-01-2024,
T00202,P114,V029,OUT,15,,,26-04-2025,Emergency
T00203,P059,V053,OUT,26,,,02-01-2025,Emergency
T00204,P055,V021,IN,41,13-10-2023,08-11-2023,08-11-2023,
T00205,P012,V005,OUT,5,,,21-09-2024,Maintenance
T00206,P096,V007,OUT,47,,,29-06-2025,Replacement
T00207,P008,V036,IN,76,26-02-2024,19-03-2024,17-03-2024,
T00208,P046,V027,IN,86,06-02-2024,06-03-2024,04-03-2024,
T00209,P077,V019,IN,40,30-03-2024,15-04-2024,13-04-2024,
T00210,P085,V010,IN,62,03-12-2023,15-12-2023,21-12-2023,
T00211,P098,V008,OUT,18,,,16-06-2025,Routine Check
T00212,P055,V052,IN,72,24-10-2023,22-11-2023,20-11-2023,
T00213,P119,V039,IN,85,27-09-2023,24-10-2023,24-10-2023,
T00214,P098,V045,OUT,20,,,26-09-2024,Replacement
T00215,P024,V001,OUT,9,,,25-06-2025,Routine Check
T00216,P019,V005,OUT,47,,,04-04-2025,Maintenance
T00217,P068,V048,IN,28,08-05-2024,25-05-2024,24-05-2024,
T00218,P040,V024,IN,93,06-04-2024,21-04-2024,01-05-2024,
T00219,P007,V057,IN,20,04-10-2023,14-10-2023,15-10-2023,
T00220,P057,V018,IN,85,13-09-2023,01-10-2023,30-09-2023,
T00221,P028,V018,OUT,48,,,08-12-2024,Routine Check
T00222,P056,V023,IN,15,20-12-2023,03-01-2024,13-01-2024,
T00223,P086,V034,OUT,20,,,29-11-2024,Maintenance
T00224,P077,V026,IN,8,26-03-2024,31-03-2024,31-03-2024,
T00225,P033,V049,IN,38,15-12-2023,30-12-2023,29-12-2023,
T00226,P017,V012,OUT,24,,,19-10-2024,Routine Check
T00227,P072,V033,IN,86,27-06-2024,27-07-2024,26-07-2024,
T00228,P003,V028,IN,59,17-11-2023,24-11-2023,04-12-2023,
T00229,P052,V037,OUT,45,,,14-12-2024,Emergency
T00230,P052,V008,OUT,1,,,19-11-2024,Replacement
T00231,P080,V052,IN,59,30-10-2023,26-11-2023,28-11-2023,
T00232,P014,V055,OUT,16,,,02-12-2024,Emergency
T00233,P011,V034,OUT,25,,,11-11-2024,Replacement
T00234,P043,V015,OUT,50,,,19-01-2025,Repair
T00235,P082,V033,IN,15,19-04-2024,10-05-2024,09-05-2024,
T00236,P105,V047,OUT,41,,,07-12-2024,Repair
T00237,P019,V007,IN,33,25-04-2024,06-05-2024,06-05-2024,
T00238,P099,V012,IN,81,23-05-2024,12-06-2024,10-06-2024,
T00239,P119,V044,OUT,36,,,30-10-2024,Routine Check
T00240,P081,V056,OUT,20,,,11-06-2025,Repair
T00241,P061,V005,OUT,28,,,06-01-2025,Replacement
T00242,P008,V038,OUT,23,,,04-01-2025,Routine Check
T00243,P060,V020,IN,58,29-02-2024,06-03-2024,05-03-2024,
T00244,P111,V042,IN,12,01-04-2024,25-04-2024,24-04-2024,
T00245,P071,V038,OUT,47,,,29-05-2025,Maintenance
T00246,P104,V059,OUT,37,,,17-01-2025,Repair
T00247,P061,V039,OUT,32,,,31-10-2024,Repair
T00248,P014,V029,IN,44,16-10-2023,12-11-2023,10-11-2023,
T00249,P032,V003,IN,91,09-02-2024,28-02-2024,08-03-2024,
T00250,P048,V024,IN,37,12-05-2024,29-05-2024,28-05-2024,
T00251,P081,V051,IN,83,09-03-2024,24-03-2024,24-03-2024,
T00252,P033,V019,OUT,46,,,22-02-2025,Routine Check
T00253,P011,V022,IN,75,27-08-2023,22-09-2023,21-09-2023,
T00254,P090,V042,OUT,42,,,09-08-2025,Emergency
T00255,P091,V039,IN,11,05-05-2024,19-05-2024,17-05-2024,
T00256,P017,V053,OUT,43,,,20-12-2024,Routine Check
T00257,P086,V042,IN,55,07-02-2024,28-02-2024,27-02-2024,
T00258,P028,V012,OUT,22,,,18-10-2024,Emergency
T00259,P018,V015,IN,20,19-02-2024,26-02-2024,26-02-2024,
T00260,P044,V043,IN,99,15-08-2024,08-09-2024,07-09-2024,
T00261,P024,V011,IN,89,25-07-2024,23-08-2024,26-08-2024,
T00262,P053,V003,OUT,23,,,20-10-2024,Repair
T00263,P037,V040,OUT,48,,,05-12-2024,Emergency
T00264,P031,V035,IN,40,01-06-2024,01-07-2024,05-07-2024,
T00265,P074,V044,OUT,28,,,02-10-2024,Emergency
T00266,P049,V050,OUT,32,,,25-11-2024,Routine Check
T00267,P105,V011,OUT,13,,,08-11-2024,Routine Check
T00268,P033,V056,IN,7,07-06-2024,02-07-2024,08-07-2024,
T00269,P109,V046,IN,67,15-04-2024,23-04-2024,23-04-2024,
T00270,P116,V029,OUT,33,,,18-11-2024,Repair
T00271,P117,V006,OUT,14,,,21-04-2025,Emergency
T00272,P004,V060,OUT,27,,,11-07-2025,Maintenance
T00273,P048,V033,OUT,15,,,11-01-2025,Emergency
T00274,P029,V024,IN,4,24-02-2024,10-03-2024,16-03-2024,
T00275,P005,V009,IN,37,30-11-2023,20-12-2023,23-12-2023,
T00276,P079,V029,OUT,0,,,23-03-2025,Maintenance
T00277,P028,V017,IN,20,15-06-2024,07-07-2024,17-07-2024,
T00278,P100,V008,OUT,18,,,10-04-2025,Repair
T00279,P007,V008,OUT,15,,,17-12-2024,Emergency
T00280,P015,V005,OUT,32,,,28-10-2024,Routine Check
T00281,P066,V041,IN,74,05-01-2024,17-01-2024,16-01-2024,
T00282,P079,V001,OUT,23,,,07-09-2024,Repair
T00283,P086,V012,OUT,43,,,25-01-2025,Maintenance
T00284,P068,V005,OUT,35,,,05-07-2025,Routine Check
T00285,P112,V025,IN,61,04-05-2024,10-05-2024,09-05-2024,
T00286,P003,V048,OUT,23,,,23-10-2024,Maintenance
T00287,P094,V016,OUT,42,,,24-12-2024,Maintenance
T00288,P006,V009,OUT,23,,,25-04-2025,Routine Check
T00289,P083,V053,OUT,11,,,14-11-2024,Emergency
T00290,P024,V041,OUT,9,,,23-05-2025,Maintenance
T00291,P038,V003,OUT,13,,,19-07-2025,Maintenance
T00292,P006,V057,IN,41,16-09-2023,30-09-2023,09-10-2023,
T00293,P005,V017,OUT,48,,,17-12-2024,Repair
T00294,P111,V023,OUT,50,,,14-06-2025,Maintenance
T00295,P016,V018,OUT,24,,,09-09-2024,Emergency
T00296,P057,V048,OUT,25,,,06-03-2025,Replacement
T00297,P089,V032,IN,64,14-12-2023,30-12-2023,08-01-2024,
T00298,P011,V052,OUT,47,,,13-05-2025,Emergency
T00299,P078,V028,IN,24,16-03-2024,07-04-2024,07-04-2024,
T00300,P085,V021,IN,38,14-05-2024,28-05-2024,26-05-2024,
T00301,P089,V011,OUT,28,,,21-08-2024,Replacement
T00302,P094,V003,OUT,23,,,15-07-2025,Routine Check
T00303,P082,V018,OUT,4,,,20-06-2025,Maintenance
T00304,P066,V024,OUT,48,,,13-07-2025,Repair
T00305,P109,V010,IN,78,23-08-2023,18-09-2023,19-09-2023,
T00306,P031,V005,IN,100,22-02-2024,18-03-2024,17-03-2024,
T00307,P020,V039,IN,87,28-11-2023,17-12-2023,23-12-2023,
T00308,P010,V049,OUT,37,,,28-06-2025,Repair
T00309,P041,V026,OUT,42,,,28-10-2024,Replacement
T00310,P004,V008,IN,95,18-07-2024,28-07-2024,04-08-2024,
T00311,P100,V017,IN,34,03-03-2024,30-03-2024,28-03-2024,
T00312,P118,V045,OUT,31,,,12-06-2025,Repair
T00313,P110,V009,IN,10,06-05-2024,25-05-2024,23-05-2024,
T00314,P104,V006,OUT,44,,,22-06-2025,Replacement
T00315,P009,V046,OUT,35,,,30-06-2025,Routine Check
T00316,P039,V058,OUT,10,,,17-07-2025,Repair
T00317,P029,V033,OUT,8,,,18-12-2024,Repair
T00318,P102,V016,IN,64,30-06-2024,05-07-2024,03-07-2024,
T00319,P103,V030,OUT,35,,,08-07-2025,Repair
T00320,P040,V005,IN,51,24-03-2024,20-04-2024,29-04-2024,
T00321,P053,V050,OUT,37,,,07-02-2025,Maintenance
T00322,P083,V021,IN,10,14-12-2023,02-01-2024,31-12-2023,
T00323,P113,V009,OUT,50,,,31-05-2025,Routine Check
T00324,P017,V050,IN,56,03-05-2024,24-05-2024,25-05-2024,
T00325,P020,V034,IN,39,30-04-2024,10-05-2024,08-05-2024,
T00326,P067,V023,IN,37,08-12-2023,15-12-2023,13-12-2023,
T00327,P081,V009,OUT,19,,,13-01-2025,Routine Check
T00328,P083,V033,IN,22,06-04-2024,29-04-2024,02-05-2024,
T00329,P080,V043,IN,93,18-03-2024,11-04-2024,09-04-2024,
T00330,P111,V053,IN,4,20-02-2024,27-02-2024,25-02-2024,
T00331,P027,V042,OUT,49,,,14-08-2025,Routine Check
T00332,P082,V040,OUT,2,,,24-07-2025,Emergency
T00333,P039,V042,OUT,31,,,04-02-2025,Repair
T00334,P059,V020,OUT,5,,,27-04-2025,Maintenance
T00335,P054,V029,IN,62,01-01-2024,20-01-2024,18-01-2024,
T00336,P111,V021,IN,92,12-01-2024,27-01-2024,02-02-2024,
T00337,P098,V009,OUT,24,,,29-05-2025,Routine Check
T00338,P031,V021,IN,60,20-07-2024,28-07-2024,28-07-2024,
T00339,P007,V007,IN,38,07-05-2024,24-05-2024,31-05-2024,
T00340,P116,V056,IN,21,22-03-2024,06-04-2024,12-04-2024,
T00341,P021,V049,IN,64,01-04-2024,22-04-2024,21-04-2024,
T00342,P012,V002,OUT,25,,,02-01-2025,Routine Check
T00343,P028,V016,OUT,37,,,15-02-2025,Replacement
T00344,P037,V004,IN,64,24-03-2024,17-04-2024,25-04-2024,
T00345,P002,V035,OUT,7,,,03-09-2024,Emergency
T00346,P034,V057,IN,94,02-11-2023,18-11-2023,24-11-2023,
T00347,P007,V026,IN,73,04-10-2023,26-10-2023,24-10-2023,
T00348,P050,V005,OUT,32,,,11-01-2025,Emergency
T00349,P080,V053,OUT,44,,,19-07-2025,Routine Check
T00350,P013,V009,IN,51,17-04-2024,03-05-2024,09-05-2024,
T00351,P019,V049,OUT,13,,,28-05-2025,Routine Check
T00352,P006,V033,OUT,3,,,03-03-2025,Maintenance
T00353,P043,V046,IN,61,26-02-2024,18-03-2024,16-03-2024,
T00354,P120,V021,IN,79,31-01-2024,15-02-2024,13-02-2024,
T00355,P044,V038,OUT,32,,,08-08-2025,Routine Check
T00356,P073,V046,OUT,19,,,15-03-2025,Emergency
T00357,P043,V024,IN,87,21-07-2024,29-07-2024,08-08-2024,
T00358,P116,V051,OUT,46,,,05-06-2025,Maintenance
T00359,P084,V017,OUT,50,,,20-10-2024,Routine Check
T00360,P007,V047,IN,75,18-07-2024,07-08-2024,05-08-2024,
T00361,P106,V010,OUT,44,,,03-06-2025,Repair
T00362,P090,V037,IN,15,24-10-2023,04-11-2023,03-11-2023,
T00363,P053,V010,OUT,44,,,12-12-2024,Repair
T00364,P100,V033,OUT,39,,,01-04-2025,Emergency
T00365,P018,V046,IN,67,13-04-2024,24-04-2024,22-04-2024,
T00366,P049,V034,OUT,20,,,08-02-2025,Repair
T00367,P069,V059,OUT,22,,,18-04-2025,Routine Check
T00368,P099,V044,OUT,46,,,28-06-2025,Replacement
T00369,P032,V013,OUT,18,,,29-05-2025,Routine Check
T00370,P039,V015,OUT,49,,,12-03-2025,Replacement
T00371,P091,V045,IN,63,21-06-2024,06-07-2024,04-07-2024,
T00372,P016,V019,OUT,37,,,30-05-2025,Routine Check
T00373,P051,V058,OUT,22,,,09-09-2024,Repair
T00374,P037,V003,OUT,46,,,20-01-2025,Maintenance
T00375,P057,V060,OUT,42,,,27-10-2024,Replacement
T00376,P026,V014,OUT,34,,,24-05-2025,Replacement
T00377,P014,V009,OUT,39,,,27-01-2025,Routine Check
T00378,P007,V016,IN,86,20-10-2023,10-11-2023,10-11-2023,
T00379,P053,V007,IN,43,23-12-2023,19-01-2024,22-01-2024,
T00380,P119,V036,IN,21,12-09-2023,30-09-2023,29-09-2023,
T00381,P026,V042,OUT,48,,,07-11-2024,Replacement
T00382,P083,V019,OUT,4,,,25-05-2025,Maintenance
T00383,P095,V035,IN,93,25-04-2024,01-05-2024,04-05-2024,
T00384,P108,V057,OUT,11,,,09-03-2025,Maintenance
T00385,P064,V051,OUT,12,,,29-03-2025,Replacement
T00386,P039,V001,IN,73,31-10-2023,24-11-2023,23-11-2023,
T00387,P083,V030,OUT,35,,,20-10-2024,Routine Check
T00388,P018,V057,OUT,32,,,11-02-2025,Emergency
T00389,P104,V013,OUT,7,,,12-07-2025,Replacement
T00390,P059,V047,IN,83,18-10-2023,31-10-2023,31-10-2023,
T00391,P038,V051,OUT,36,,,03-05-2025,Repair
T00392,P110,V040,IN,82,10-01-2024,27-01-2024,05-02-2024,
T00393,P052,V006,OUT,43,,,13-03-2025,Maintenance
T00394,P062,V009,IN,42,31-10-2023,12-11-2023,11-11-2023,
T00395,P097,V029,IN,35,09-12-2023,24-12-2023,22-12-2023,
T00396,P084,V017,IN,47,01-10-2023,28-10-2023,26-10-2023,
T00397,P040,V030,IN,21,12-05-2024,29-05-2024,27-05-2024,
T00398,P016,V045,OUT,41,,,16-02-2025,Replacement
T00399,P029,V040,OUT,14,,,05-03-2025,Repair
T00400,P059,V010,OUT,48,,,18-10-2024,Routine Check
T00401,P090,V027,OUT,35,,,24-05-2025,Emergency
T00402,P032,V049,IN,88,21-01-2024,19-02-2024,19-02-2024,
T00403,P091,V034,OUT,23,,,06-01-2025,Maintenance
T00404,P107,V004,IN,71,04-01-2024,25-01-2024,23-01-2024,
T00405,P042,V011,IN,67,25-10-2023,13-11-2023,13-11-2023,
T00406,P116,V006,OUT,33,,,06-08-2025,Emergency
T00407,P017,V030,IN,66,02-03-2024,20-03-2024,20-03-2024,
T00408,P104,V044,OUT,20,,,15-07-2025,Maintenance
T00409,P105,V017,OUT,0,,,26-10-2024,Repair
T00410,P055,V003,IN,45,23-03-2024,19-04-2024,19-04-2024,
T00411,P061,V060,IN,5,14-11-2023,28-11-2023,28-11-2023,
T00412,P115,V024,OUT,24,,,27-08-2024,Emergency
T00413,P011,V025,OUT,44,,,11-05-2025,Routine Check
T00414,P111,V042,IN,45,25-08-2023,02-09-2023,31-08-2023,
T00415,P017,V034,OUT,47,,,31-03-2025,Repair
